update,episodes,total_steps,ep_mean,ep_min,ep_max,avg50,best_avg50,mean_kills,max_kills,avg50_kills,best_avg50_kills,policy_loss,value_loss,rel_value_loss_pct,entropy,secs_rollout,secs_update
273,34446,71880312,626.44,10.37,1101.82,600.96,687.95,34.25,40.0,34.02,35.72,0.00662,33.11431,0.919,0.96601,440.8,243.9
274,34557,72142456,559.95,-33.81,1121.81,571.79,687.95,33.1,40.0,33.3,35.72,0.00649,34.13186,1.043,0.97185,448.9,241.1
275,34671,72404600,556.82,-96.64,1111.69,585.2,687.95,33.12,40.0,33.46,35.72,0.0057,31.53199,1.008,0.96934,453.2,240.5
276,34776,72666744,628.91,-77.79,1108.91,632.65,687.95,34.34,40.0,34.24,35.72,0.00714,29.73274,0.867,0.96917,452.9,239.4
277,35008,73201032,564.93,17.9,1109.78,545.87,687.95,33.35,40.0,32.92,35.72,0.00497,32.15291,1.004,0.97684,827.8,477.7
278,35226,73725320,627.85,-115.47,1108.87,607.57,687.95,34.6,40.0,34.26,35.72,0.00473,34.28601,0.933,0.9656,836.5,422.2
279,35441,74249608,652.28,67.23,1115.48,682.47,687.95,34.85,40.0,34.56,35.72,0.00507,34.45537,0.9,0.97268,817.4,423.2
280,36006,75648184,663.83,29.24,1122.65,749.3,687.95,34.9,40.0,36.22,36.22,0.00363,35.1455,0.893,0.96786,1803.3,956.7
281,36424,76696760,713.69,63.13,1121.56,761.13,749.3,35.52,40.0,36.38,36.38,0.00415,36.96014,0.852,0.96185,1873.2,940.9
282,36847,77745336,730.75,9.29,1132.68,717.3,761.13,35.87,40.0,35.4,36.38,0.0039,39.03197,0.855,0.95889,1892.5,890.9
283,37262,78793912,767.75,17.97,1132.12,747.88,761.13,36.27,40.0,36.02,36.38,0.00304,37.09179,0.793,0.95504,1747.5,890.3
284,37688,79842488,728.08,-11.69,1126.35,781.63,761.13,35.94,40.0,36.68,36.68,0.00371,38.59642,0.853,0.95516,1753.1,950.9
285,38118,80891064,728.54,2.05,1125.84,698.86,781.63,35.82,40.0,35.64,36.68,0.00381,36.86816,0.833,0.95052,1745.3,879.6
286,38544,81939640,766.34,6.32,1133.42,768.41,781.63,36.36,40.0,36.16,36.68,0.0042,36.49042,0.788,0.9525,1744.2,875.9
287,38969,82988216,782.93,55.19,1128.74,781.98,781.63,36.59,40.0,36.5,36.68,0.00351,38.48178,0.792,0.94858,1747.3,877.6
288,39394,84036792,831.46,-7.91,1128.16,802.32,781.98,37.12,40.0,36.96,36.96,0.00364,38.21727,0.744,0.94109,1747.2,879.8
289,39810,85085368,862.82,32.69,1134.04,915.87,802.32,37.7,40.0,38.28,38.28,0.00502,36.48168,0.7,0.93208,1808.5,883.2
290,40229,86133944,840.67,-76.99,1122.6,906.26,915.87,37.21,40.0,38.12,38.28,0.00425,36.76382,0.721,0.92309,1800.0,890.0
291,40652,87182520,837.71,-50.79,1134.3,846.72,915.87,37.13,40.0,37.68,38.28,0.00377,39.63029,0.751,0.92245,1811.3,887.3
292,41252,88676096,872.57,20.7,1130.73,860.99,915.87,37.77,40.0,37.66,38.28,0.00433,38.42141,0.71,0.91085,1893.4,904.2
293,41684,89724672,899.67,56.95,1128.08,922.55,915.87,38.06,40.0,38.58,38.58,0.00477,41.35509,0.715,0.904,1838.6,892.0
294,42121,90773248,902.94,60.42,1128.87,872.38,922.55,37.91,40.0,37.36,38.58,0.00456,41.38376,0.712,0.90541,1861.6,896.6
295,42555,91821824,896.36,18.94,1133.47,913.22,922.55,38.0,40.0,38.06,38.58,0.00511,39.72411,0.703,0.90624,1845.0,887.4
296,42996,92870400,893.39,2.11,1134.33,905.04,922.55,37.78,40.0,37.64,38.58,0.00517,39.86554,0.707,0.89947,1821.6,900.1
297,43443,93918976,889.09,19.82,1133.31,918.23,922.55,37.64,40.0,38.14,38.58,0.00457,38.32026,0.696,0.89345,1879.2,884.8
298,43888,94967552,896.5,11.89,1138.74,891.27,922.55,37.79,40.0,37.82,38.58,0.00514,39.74904,0.703,0.89546,1816.6,901.8
299,44340,96016128,858.72,93.34,1128.93,912.41,922.55,37.31,40.0,37.98,38.58,0.0042,38.92414,0.727,0.90043,1775.2,902.1
300,44786,97064704,863.34,45.04,1126.11,893.83,922.55,37.43,40.0,37.9,38.58,0.00453,38.98009,0.723,0.89247,1763.2,905.2
301,45236,98113280,867.68,16.0,1129.1,834.26,922.55,37.35,40.0,36.56,38.58,0.00487,39.82562,0.727,0.89072,1833.8,907.6
