update,ep_num,ep_score,ep_kills,ep_steps,start_p_x,start_alien_dir,start_swarm_drift
292,41325,1104.5,40,2149,722,-1,95.0
292,41326,1114.1,40,2173,393,1,2.5
292,41327,1094.5,40,2606,113,-1,73.8
292,41328,1070.7,40,2724,351,1,7.5
292,41329,646.1,37,2143,496,1,31.2
292,41330,1066.0,40,1932,328,-1,13.8
292,41331,663.4,39,3356,0,-1,105.0
292,41332,951.3,40,2506,140,-1,66.2
292,41333,1104.1,40,1985,723,-1,95.0
292,41334,1103.9,40,2222,381,1,0
292,41335,897.9,40,3144,314,1,17.5
292,41336,1114.6,40,2043,2,1,105.0
292,41337,671.2,38,2848,124,-1,70.0
292,41338,1108.7,40,2232,193,1,51.2
292,41339,1098.0,40,2416,702,-1,88.8
292,41340,197.0,24,1572,106,-1,75.0
292,41341,1057.4,40,2450,467,1,23.8
292,41342,577.6,33,2276,146,1,65.0
292,41343,480.6,34,2160,53,1,90.0
292,41344,1088.7,40,1963,629,-1,68.8
292,41345,458.6,33,1869,575,1,53.8
292,41346,1096.1,40,2409,730,1,96.2
292,41347,1104.6,40,2126,217,-1,45.0
292,41348,590.8,36,2321,337,-1,11.2
292,41349,1107.7,40,1966,457,1,21.2
292,41350,1088.6,40,2214,626,1,67.5
292,41351,1072.1,40,2083,6,-1,103.8
292,41352,1107.5,40,2099,661,1,77.5
292,41353,383.1,30,1479,382,-1,0
292,41354,1094.6,40,2221,121,1,71.2
292,41355,1048.6,40,2588,512,1,36.2
292,41356,1071.5,40,2365,126,-1,70.0
292,41357,56.9,24,1655,165,-1,58.8
292,41358,697.1,38,3080,192,1,51.2
292,41359,941.2,40,3186,259,1,32.5
292,41360,980.8,40,2633,109,1,75.0
292,41361,642.7,37,2145,121,-1,71.2
292,41362,1087.7,40,2383,140,-1,66.2
292,41363,1107.2,40,2924,581,-1,55.0
292,41364,1118.2,40,2253,199,1,50.0
292,41365,1081.6,40,2477,62,1,87.5
292,41366,1112.6,40,2236,465,1,22.5
292,41367,532.6,35,1837,693,-1,86.2
292,41368,983.7,40,2277,68,-1,86.2
292,41369,1093.8,40,2327,532,1,41.2
292,41370,1106.4,40,1979,481,-1,27.5
292,41371,675.8,36,3158,748,1,101.2
292,41372,372.6,34,2160,344,-1,10.0
292,41373,906.8,40,2594,660,1,77.5
292,41374,346.9,30,1909,364,1,3.8
292,41375,1104.1,40,2764,92,1,80.0
292,41376,1079.7,40,2432,700,-1,88.8
292,41377,1020.9,40,2728,415,-1,8.8
292,41378,1057.3,40,2226,90,1,80.0
292,41379,429.7,33,2145,123,-1,71.2
292,41380,1104.2,40,2561,421,-1,11.2
292,41381,983.0,40,2524,108,1,75.0
292,41382,1106.1,40,2283,483,-1,27.5
292,41383,1081.2,40,2664,117,1,72.5
292,41384,976.0,40,2169,563,1,50.0
292,41385,705.9,37,3149,201,1,48.8
292,41386,1087.5,40,2546,252,-1,35.0
292,41387,940.5,40,2946,554,1,47.5
292,41388,1083.6,40,2166,630,1,68.8
292,41389,532.8,34,1949,619,-1,66.2
292,41390,1027.8,40,3860,625,1,67.5
292,41391,1056.5,40,2306,64,1,87.5
292,41392,889.9,40,3198,543,1,45.0
292,41393,610.3,36,1869,185,1,53.8
292,41394,1004.2,40,3211,400,-1,5.0
292,41395,1100.7,40,2148,415,-1,8.8
292,41396,1098.0,40,2907,713,-1,92.5
292,41397,531.3,36,2393,748,-1,101.2
292,41398,577.0,36,2445,311,1,18.8
292,41399,1101.9,40,2413,27,-1,97.5
292,41400,1104.6,40,2469,559,-1,48.8
292,41401,979.9,40,2236,480,-1,27.5
292,41402,1128.1,40,1965,744,1,100.0
292,41403,1059.7,40,2720,606,-1,62.5
292,41404,1043.4,40,2775,619,1,66.2
292,41405,230.0,29,1679,50,1,91.2
292,41406,1038.8,40,2240,373,-1,1.2
292,41407,402.7,34,1845,78,1,83.8
292,41408,1092.6,40,2154,55,-1,90.0
